A1,A2,voto,valor
AGUIÑAGA VALLEJO PAOLA MARCELA,ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,SERRANO SALGADO JOSÉ RICARDO,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,ARIAS RAMÍREZ ALBERTO JESÚS,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,ARREGUI RUEDA MARCIA CECILIA,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,ARTEAGA MUÑOZ KARINA CECILIA,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,BENAVIDES ZAMBRANO ZOILA TERESA,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,BERGMANN REYNA CARLOS ALBERTO,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,BONILLA SALCEDO VIVIANA,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,BUENDÍA HERDOÍZA MARÍA SOLEDAD,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,BUSTAMANTE MONTEROS RUBÉN ALEJANDRO,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,CABEZAS GUERRERO ELIZABETH ENRIQUETA,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,CADENA VÉLEZ KARLA GABRIELA,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,CALLE VERZOZI HERMUY,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,CAMBALA MONTECE CARLOS ALBERTO,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,CÁRDENAS ESPINOZA JUAN JORGE,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,CARRIÓN CEVALLOS MARÍA JOSÉ,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,CARVAJAL AGUIRRE MIGUEL ÁNGEL,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,CERDA MIRANDA GABRIELA PAMELA,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,CHALÁ CRUZ JOSÉ FRANKLIN,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,CHÁVEZ BAJAÑA KHARLA DEL ROCÍO,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,COROZO AYOVÍ JORGE WILBER,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,CUESTA RÍOS LIUBA ELISA,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,CUESTA SANTANA ESTHER ADELINA,SI,1
AGUIÑAGA VALLEJO PAOLA MARCELA,DOUMET CHEDRAUI MICHEL ANDRÉS,SI,1
