voto,curul,asambleista
AUSENTE,2,ACERO LANCHIMBA ESTHELA LILIANA
AUSENTE,9,ANDINO REINOSO MAURO EDMUNDO
AUSENTE,12,ARREGUI RUEDA MARCIA CECILIA
AUSENTE,14,BERGMANN REYNA CARLOS ALBERTO
AUSENTE,20,CARRILLO BETTY
AUSENTE,23,BRAVO RAMIREZ MARIA LORENA
AUSENTE,25,CEDEÑO ZAMBRANO JOHANNA ELIZABETH
AUSENTE,30,DE LA CRUZ BERNARDO HERMAN ULISES
AUSENTE,37,MENDOZA DANIEL ISAAC
AUSENTE,40,GONZALEZ SERRANO MIRYAM CATARINA
AUSENTE,46,HERNANDEZ ENRIQUEZ VIRGILIO HUMBERTO
AUSENTE,47,MOSQUERA YANEZ ISABEL PIEDAD
AUSENTE,50,SILVA MALDONADO SOFIA IRENE
AUSENTE,69,FARFAN APONTE RICHARD WILSON
AUSENTE,74,AGUILAR TORRES MANUEL RAMIRO
AUSENTE,75,ARIAS FERNANDEZ VERONICA ELIZABETH
AUSENTE,77,SAENZ DE VITERI LAUTARO ENRIQUE
AUSENTE,80,BUSTOS CHILIQUINGA ARCADIO
AUSENTE,81,MATIAS APOLINARIO RITA AZUCENA
AUSENTE,87,DAHIK ASTUDILLO REYTA GIOMAR
AUSENTE,88,DIAZ COKA MARIA GABRIELA
AUSENTE,91,ORELLANA MARQUINEZ MAGALI MARGOT
AUSENTE,92,UMAJINGA GUAMAN CESAR
AUSENTE,93,TIBAN GUALA LOURDES LICENIA
AUSENTE,99,PACHECO ORDOÑEZ BAYRON EDUARDO
AUSENTE,101,AUQUILLA ORTEGA RAUL VICENTE
AUSENTE,107,GOMEZ IRMA
AUSENTE,112,VILEMA FREIRE ANGEL RAMIRO
AUSENTE,113,POSSO SALGADO LUIS ANTONIO
AUSENTE,114,SOLORZANO SARRIA CESAR FAUSTO
AUSENTE,117,PAEZ BENALCAZAR ANDRES TARQUINO
AUSENTE,118,SALGADO RIVADENEIRA DIEGO
AUSENTE,119,CHICA ARTEAGA GUNTARD PAVEL
AUSENTE,121,ALEJANDRO MEDINA CRISTINA SORAYA
AUSENTE,129,URIBE LOPEZ FANNY ESTHER
AUSENTE,131,CUCALON CAMACHO HENRY EDUARDO
AUSENTE,132,REYES HIDALGO CRISTINA EUGENIA
AUSENTE,133,TACLE GALARRAGA MOISES FERNANDO
AUSENTE,134,ROMERO LOAYZA FRANCO SEGUNDO
AUSENTE,137,KRONFLE GOMEZ MARIA CRISTINA
SI,1,ABAD VELEZ RAUL
SI,3,AGUILAR PLACIDO ARMANDO
SI,4,HAGO CELI FRANCISCO WAIKING
SI,5,AGUIRRE HIDALGO DORA ANADELA
SI,6,ALBAN TORRES MARIANA DEL ROCIO
SI,7,MONTENEGRO NUÑEZ CHRISTIAN SANTIAGO
SI,8,MUÑOZ VICUÑA MARIANGEL
SI,10,VITERI LOPEZ CHRISTIAN HUMBERTO
SI,11,RIVAS ALAVA ELIANA LISSET
SI,13,BENAVIDES ZAMBRANO ZOILA TERESA
SI,15,BARRIGA ROCIO
SI,16,RIVADENEIRA BURBANO GABRIELA ALEJANDRA
SI,17,BUSTAMANTE PONCE FERNANDO XAVIER
SI,18,CALDERON SALTOS RICHARD OSWALDO
SI,19,CALLE ANDRADE MARIA AUGUSTA
SI,21,CARRION MARIA JOSE
SI,22,CARVAJAL AGUIRRE MIGUEL ANGEL
SI,24,CAYAMBE TIPAN FAUSTO HERIBERTO
SI,26,CHAVEZ CANALES HOLGER EZEQUIEL
