70,asambleista,curul,total no,voto
,ABAD VELEZ RAUL,1.0,,AUSENTE
,VITERI LOPEZ CHRISTIAN HUMBERTO,10.0,,AUSENTE
,ARIAS RAMIREZ ALBERTO JESUS,11.0,,AUSENTE
,CARRILLO BETTY,20.0,,AUSENTE
,CARRION MARIA JOSE,21.0,,AUSENTE
,CAJAS LARA SUSANA VALERIA,22.0,,AUSENTE
,CAYAMBE TIPAN FAUSTO HERIBERTO,24.0,,AUSENTE
,DE LA CRUZ BERNARDO HERMAN ULISES,30.0,,AUSENTE
,GAGLIARDO LOOR GASTON,35.0,,AUSENTE
,GALVAN GRACIA MARIA ESPERANZA,36.0,,AUSENTE
,GONZALEZ SERRANO MIRYAM CATARINA,40.0,,AUSENTE
,GUDIÑO MENA ZOBEIDA GUISELA,43.0,,AUSENTE
,REYES MACHUCA EFREN RODRIGO,52.0,,AUSENTE
,LARRIVA ALVARADO OSCAR OSWALDO,53.0,,AUSENTE
,PONCE LEON XIMENA MERCEDES,67.0,,AUSENTE
,REINOSO LESCANO MARIA ELIZABETH,73.0,,AUSENTE
,ARIAS FERNANDEZ VERONICA ELIZABETH,75.0,,AUSENTE
,BUSTOS CHILIQUINGA ARCADIO,80.0,,AUSENTE
,MOYA DUQUE HERMAN ANIBAL,85.0,,AUSENTE
,DAHIK ASTUDILLO REYTA GIOMAR,87.0,,AUSENTE
,DIAZ COKA MARIA GABRIELA,88.0,,AUSENTE
,ORELLANA MARQUINEZ MAGALI MARGOT,91.0,,AUSENTE
,VELEZ MARLENE MARGARITA,109.0,,AUSENTE
,SOLORZANO SARRIA CESAR FAUSTO,114.0,,AUSENTE
,CHICA ARTEAGA GUNTARD PAVEL,119.0,,AUSENTE
,ZAMBRANO CASTRO NORALMA ELIZABETH,126.0,,AUSENTE
,TACLE GALARRAGA MOISES FERNANDO,133.0,,AUSENTE
,KRONFLE GOMEZ MARIA CRISTINA,137.0,,AUSENTE
,BUSTAMANTE PONCE FERNANDO XAVIER,17.0,,SI
,AGUILAR TORRES MANUEL RAMIRO,74.0,,SI
,RODRIGUEZ DELGADO MARIA VERONICA,76.0,,SI
,HURTADO BRAVO WASHINGTON OMAR,79.0,,SI
,YANDUN POZO CASTULO RENE,82.0,,SI
,ACACHO GONZALEZ PEPE LUIS,83.0,,SI
,FIERRO OVIEDO PACO,89.0,,SI
,GUALAN JAPA MILTON RODRIGO,90.0,,SI
,UMAJINGA GUAMAN CESAR,92.0,,SI
,TIBAN GUALA LOURDES LICENIA,93.0,,SI
,PACHECO ORDOÑEZ BAYRON EDUARDO,99.0,,SI
,ALBAN GALLO MARINA ELIZABETH,100.0,,SI
,AUQUILLA ORTEGA RAUL VICENTE,101.0,,SI
,CHICAIZA TOAPANTA WILSON ALFONSO,102.0,,SI
,DONOSO CHIRIBOGA PATRICIO,103.0,,SI
,CORRAL DAVALOS PATRICIO,104.0,,SI
,AGUIRRE RODRIGUEZ FRANCISCO XAVIER,105.0,,SI
,VILEMA FREIRE ANGEL RAMIRO,112.0,,SI
,POSSO SALGADO LUIS ANTONIO,113.0,,SI
,MONTAÑO VALENCIA MAE,115.0,,SI
,MORETA PANCHEZ MIGUEL ANGEL,116.0,,SI
,PAEZ BENALCAZAR ANDRES TARQUINO,117.0,,SI
,SALGADO RIVADENEIRA DIEGO,118.0,,SI
,TORRES TORRES LUIS FERNANDO,120.0,,SI
,URIBE LOPEZ FANNY ESTHER,129.0,,SI
,TAPIA LOMBEYDA LUIS FERNANDO,130.0,,SI
,CUCALON CAMACHO HENRY EDUARDO,131.0,,SI
,REYES HIDALGO CRISTINA EUGENIA,132.0,,SI
,ROMERO LOAYZA FRANCO SEGUNDO,134.0,,SI
,YELA BURGOS DAYSE INES,135.0,,SI
,OÑATE LOMBEIDA WIMPER BOLIVAR,136.0,,SI
,ALMEIDA MANOSALVAS MARIA DEL PILAR,3.0,,NO
,HAGO CELI FRANCISCO WAIKING,4.0,,NO
,AGUIRRE HIDALGO DORA ANADELA,5.0,,NO
,ALBAN TORRES MARIANA DEL ROCIO,6.0,,NO
,MUÑOZ VICUÑA MARIANGEL,8.0,,NO
,ARREGUI RUEDA MARCIA CECILIA,12.0,,NO
,MARQUEZ LOPEZ JOSE LENIN,13.0,,NO
,BERGMANN REYNA CARLOS ALBERTO,14.0,,NO
,BORJA PEREZ GALO,15.0,,NO
,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,16.0,,NO
,CALDERON SALTOS RICHARD OSWALDO,18.0,,NO
,CALLE ANDRADE MARIA AUGUSTA,19.0,,NO
,BRAVO RAMIREZ MARIA LORENA,23.0,,NO
,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,25.0,,NO
,CHAVEZ CANALES HOLGER EZEQUIEL,26.0,,NO
,CHICA AREVALO VINICIO VETHOWEN,27.0,,NO
,CORDOVA ENCALADA EDGAR EDUARDO,28.0,,NO
,CUESTA RIOS LIUBA ELISA,29.0,,NO
,DE LA CRUZ GASPAR ADRIANA MIOSOTI,31.0,,NO
,DELGADO CHALA AGUSTIN JAVIER,32.0,,NO
,FAJARDO MOSQUERA LETTY VANESSA,33.0,,NO
,FALCONI LOQUI EVELYN PAMELA,34.0,,NO
,GARZON RICAURTE WILLIAM ANTONIO,38.0,,NO
,GODOY ANDRADE GINA JAKELINE,39.0,,NO
,GUAMAN CASTRO ALEX FRANCISCO,41.0,,NO
,BOMBON LOPEZ BLANCA CECILIA,42.0,,NO
,GUEVARA VILLACRES VERONICA MARGARITA,44.0,,NO
,GUZMAN OCHOA LILIANA MAURA,45.0,,NO
,HERNANDEZ ENRIQUEZ VIRGILIO HUMBERTO,46.0,,NO
,MOSQUERA YANEZ ISABEL PIEDAD,47.0,,NO
,ISSA WAGNER NICOLAS JOSE,48.0,,NO
,CARRILLO CRESPO HUGO FERNANDO,49.0,,NO
,SILVA MALDONADO SOFIA IRENE,50.0,,NO
,ORTIZ GASPAR ESTHER FLAVIA,51.0,,NO
,LEDESMA ZAMORA OSCAR ALFONSO,54.0,,NO
,AGUIÑAGA VALLEJO PAOLA MARCELA,55.0,,NO
,MORENO CHIRIBOGA AMPARO DIANA,56.0,,NO
,TOBAR NUÑEZ RAUL IGNACIO,57.0,,NO
,ALVARADO CARRION ROSANA,59.0,,NO
,OCLES PADILLA ALEXANDRA,60.0,,NO
,CAZA TIPANTA HUGO RENE,61.0,,NO
,PADRON SAETEROS GLADYS PAULINA,62.0,,NO
,MACAS JOSE LUIS,63.0,,NO
,PEÑA CARRASCO DIANA LUCIA,64.0,,NO
,PEÑA PACHECO XIMENA DEL ROCIO,65.0,,NO
,PEÑAFIEL MONTESDEOCA JUANA MARISOL,66.0,,NO
,PROAÑO CIFUENTES ROBERTH MAURICIO,68.0,,NO
,FARFAN APONTE RICHARD WILSON,69.0,,NO
,RIVERA LOPEZ JOSE GABRIEL,70.0,,NO
,RIVERO DOGUER ANGEL ARMANDO,71.0,,NO
,MEDINA MERA VICTOR CLEMENTE,72.0,,NO
,GARCIA PLUAS BEATRIZ CANDELARIA,77.0,,NO
,SUBIA BARREIRO BOLIVAR STALIN,78.0,,NO
,MATIAS APOLINARIO RITA AZUCENA,81.0,,NO
,ALEMAN MARMOL MONICA ROCIO,86.0,,NO
,TERAN SARZOSA SEGUNDO FAUSTO,94.0,,NO
,VALAREZO ORDOÑEZ ROCIO DEL CARMEN,95.0,,NO
,MEJIA PLUAS NILDA CECIBEL,96.0,,NO
,VASCONEZ ARTEAGA ANNY MARLLELY,97.0,,NO
,VELA CAIZAPANTA ANGEL RAMIRO,98.0,,NO
,ARGUELLO TROYA BLANCA AZUCENA,107.0,,NO
,VELASCO ENRIQUEZ CARLOS ALBERTO,108.0,,NO
,VERDUGA CEDEÑO MARY,110.0,,NO
,VICUÑA MUÑOZ MARIA ALEJANDRA,111.0,,NO
,VILLACRESES PEÑA OCTAVIO XAVIER ENRIQUE,121.0,,NO
,PONCE RUBIO ELVIA AZUCENA,122.0,,NO
,VITERI GUALINGA CARLOS ELOY,123.0,,NO
,ZAMBRANO CABANILLA EDUARDO ALFONSO,125.0,,NO
,OBANDO MORALES SANTA FELICITA,127.0,,NO
,SERRANO SEGURA GRACE MARISOL,128.0,,NO
,ACERO LANCHIMBA ESTHELA LILIANA,2.0,,ABSTENCION
,MONTENEGRO NUÑEZ CHRISTIAN SANTIAGO,7.0,,ABSTENCION
,ANDINO REINOSO MAURO EDMUNDO,9.0,,ABSTENCION
,MENDOZA DANIEL ISAAC,37.0,,ABSTENCION
,MUÑOZ AVENDAÑO ROSA ELVIRA,58.0,,ABSTENCION
,SANCHEZ ORDOÑEZ MONTGOMERY LUIS,84.0,,ABSTENCION
,VELA CHERONI MARIA SOLEDAD,106.0,,ABSTENCION
,ZAMBRANO ARTEAGA JOSE RICARDO,124.0,,ABSTENCION
