asambleista,curul,voto
ABAD VELEZ RAUL,1,AUSENTE
MONTENEGRO NUÑEZ CHRISTIAN SANTIAGO,7,AUSENTE
MUÑOZ VICUÑA MARIANGEL,8,AUSENTE
ARIAS RAMIREZ ALBERTO JESUS,11,AUSENTE
SOLORZANO AVILES FRANCISCO MARCELO,16,AUSENTE
QUIMBIULCO BEDON LORENA GABRIELA,18,AUSENTE
CARRILLO BETTY,20,AUSENTE
CARRION MARIA JOSE,21,AUSENTE
CEDEÑO ZAMBRANO JOHANNA ELIZABETH,25,AUSENTE
CHAVEZ CANALES HOLGER EZEQUIEL,26,AUSENTE
CORDOVA ENCALADA EDGAR EDUARDO,28,AUSENTE
CUESTA RIOS LIUBA ELISA,29,AUSENTE
FALCONI LOQUI EVELYN PAMELA,34,AUSENTE
MENDOZA DANIEL ISAAC,37,AUSENTE
GARZON RICAURTE WILLIAM ANTONIO,38,AUSENTE
ISSA WAGNER NICOLAS JOSE,48,AUSENTE
JEREZ PILLA BETTY MARICELA,49,AUSENTE
ORTIZ GASPAR ESTHER FLAVIA,51,AUSENTE
BUENDIA HERDOIZA MARIA SOLEDAD,52,AUSENTE
SALAZAR MARTINEZ KARINA MARITZA,54,AUSENTE
MUÑOZ AVENDAÑO ROSA ELVIRA,58,AUSENTE
PADRON SAETEROS GLADYS PAULINA,62,AUSENTE
BRITO MENDOZA MONICA CRISTINA,63,AUSENTE
PROAÑO CIFUENTES ROBERTH MAURICIO,68,AUSENTE
MEDINA MERA VICTOR CLEMENTE,72,AUSENTE
AGUILAR TORRES MANUEL RAMIRO,74,AUSENTE
ARIAS FERNANDEZ VERONICA ELIZABETH,75,AUSENTE
SAENZ DE VITERI LAUTARO ENRIQUE,77,AUSENTE
YANDUN POZO CASTULO RENE,82,AUSENTE
SANCHEZ ORDOÑEZ MONTGOMERY LUIS,84,AUSENTE
MOYA DUQUE HERMAN ANIBAL,85,AUSENTE
MORAN AMALIA,86,AUSENTE
UMAJINGA GUAMAN CESAR,92,AUSENTE
TIBAN GUALA LOURDES LICENIA,93,AUSENTE
TERAN SARZOSA SEGUNDO FAUSTO,94,AUSENTE
PACHECO ORDOÑEZ BAYRON EDUARDO,99,AUSENTE
GUTIERREZ BORBUA FAUSTO GILMAR,100,AUSENTE
MONCAYO CEVALLOS JOSE RICARDO,104,AUSENTE
AGUIRRE RODRIGUEZ FRANCISCO XAVIER,105,AUSENTE
VELIZ BRIONES JOSE FELIX,109,AUSENTE
OCHOA MORANTE MANUEL ALFREDO,110,AUSENTE
POSSO SALGADO LUIS ANTONIO,113,AUSENTE
ZAMBRANO CHACHA ALBERTO ALEXANDER,127,AUSENTE
ZAPATA MANTILLA JOSE LEONIDAS,128,AUSENTE
URIBE LOPEZ FANNY ESTHER,129,AUSENTE
CUCALON CAMACHO HENRY EDUARDO,131,AUSENTE
JUEZ JUEZ OMAR JUSEPH,50,SI
MORALES POZO LENIN ALBERTO,2,NO
AGUILAR PLACIDO ARMANDO,3,NO
HAGO CELI FRANCISCO WAIKING,4,NO
AGUIRRE HIDALGO DORA ANADELA,5,NO
ALBAN TORRES MARIANA DEL ROCIO,6,NO
ANDINO REINOSO MAURO EDMUNDO,9,NO
VITERI LOPEZ CHRISTIAN HUMBERTO,10,NO
ARREGUI RUEDA MARCIA CECILIA,12,NO
BENAVIDES ZAMBRANO ZOILA TERESA,13,NO
BERGMANN REYNA CARLOS ALBERTO,14,NO
BORJA PEREZ GALO,15,NO
BUSTAMANTE PONCE FERNANDO XAVIER,17,NO
CALLE ANDRADE MARIA AUGUSTA,19,NO
CAJAS LARA SUSANA VALERIA,22,NO
BRAVO RAMIREZ MARIA LORENA,23,NO
CONSTANTE NIETO MARIANA DE LAS MERCEDES,24,NO
CHICA AREVALO VINICIO VETHOWEN,27,NO
DE LA CRUZ BERNARDO HERMAN ULISES,30,NO
DE LA CRUZ GASPAR ADRIANA MIOSOTI,31,NO
DELGADO CHALA AGUSTIN JAVIER,32,NO
FAJARDO MOSQUERA LETTY VANESSA,33,NO
GAGLIARDO LOOR GASTON,35,NO
BAZURTO ROLDAN NANCIS CELESTE,36,NO
GODOY ANDRADE GINA JAKELINE,39,NO
GONZALEZ SERRANO MIRYAM CATARINA,40,NO
GUAMAN CASTRO ALEX FRANCISCO,41,NO
GUAMANGATE ANTE LUIS GILBERTO,42,NO
JARAMILLO RODRIGUEZ VICTOR HUGO,43,NO
GUEVARA VILLACRES VERONICA MARGARITA,44,NO
GUZMAN OCHOA LILIANA MAURA,45,NO
GUTIERREZ MOSCOSO MARIA EUGENIA,46,NO
MOSQUERA YANEZ ISABEL PIEDAD,47,NO
JAIGUA ALVARADO CELIA MARIA,53,NO
