70,asambleista,curul,total abstencion,voto
,BERGMANN REYNA CARLOS ALBERTO,9.0,,AUSENTE
,CADENA VÉLEZ KARLA GABRIELA,14.0,,AUSENTE
,CARRIÓN CEVALLOS MARÍA JOSÉ,18.0,,AUSENTE
,ESPÍN REYES EUGENIA SOFÍA,29.0,,AUSENTE
,GUEVARA VILLACRÉS VERÓNICA MARGARITA,36.0,,AUSENTE
,VERA FLORES WENDY VANESSA,64.0,,AUSENTE
,ZAMBRANO ARTEAGA JOSE RICARDO,70.0,,AUSENTE
,BURBANO MONTENEGRO FÉLIX FERNANDO,75.0,,AUSENTE
,CASTANIER JARAMILLO XAVIER HOMERO,89.0,,AUSENTE
,CAMPOVERDE GONZÁLEZ RAÚL FREDDY BOLÍVAR,97.0,,AUSENTE
,CURICHUMBI YUPANQUI PEDRO,100.0,,AUSENTE
,GENDE CALAZACÓN ANGEL MESÍAS,104.0,,AUSENTE
,ROHON HERVAS CÉSAR EDUARDO,110.0,,AUSENTE
,TELLO BENALCÁZAR RAÚL ESTUPIÑAN,121.0,,AUSENTE
,VINTIMILLA MOSCOSO PAOLA,128.0,,AUSENTE
,JUCA SALAZAR MERCEDES DEL ROCÍO,2.0,,ABSTENCION
,CEVALLOS GUEVARA LESLIE MARCELA,3.0,,ABSTENCION
,ARIAS RAMÍREZ ALBERTO JESÚS,5.0,,ABSTENCION
,ARREGUI RUEDA MARCIA CECILIA,6.0,,ABSTENCION
,ARTEAGA MUÑOZ KARINA CECILIA,7.0,,ABSTENCION
,BENAVIDES ZAMBRANO ZOILA TERESA,8.0,,ABSTENCION
,COLLAGUAZO RODRIGO,10.0,,ABSTENCION
,BUSTAMANTE MONTEROS RUBÉN ALEJANDRO,12.0,,ABSTENCION
,CABEZAS GUERRERO ELIZABETH ENRIQUETA,13.0,,ABSTENCION
,CAMBALA MONTECE CARLOS ALBERTO,16.0,,ABSTENCION
,VALLEJO JARAMILLO NORMA MARLENE,19.0,,ABSTENCION
,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,20.0,,ABSTENCION
,GREFA AVILEZ FLAVIO PATRICIO,21.0,,ABSTENCION
,CHÁVEZ BAJAÑA KHARLA DEL ROCÍO,23.0,,ABSTENCION
,CUESTA RÍOS LIUBA ELISA,25.0,,ABSTENCION
,RUIZ CEDEÑO ANA BELÉN,27.0,,ABSTENCION
,FLOR GIL BRENDA AZUCENA,31.0,,ABSTENCION
,GARZÓN RICAURTE WILLIAM ANTONIO,34.0,,ABSTENCION
,GAVILÁNEZ CAMACHO FAFO HOLGUÍN,35.0,,ABSTENCION
,LITARDO CAICEDO CÉSAR ERNESTO,38.0,,ABSTENCION
,MARÍN AGUIRRE ANA BELÉN,40.0,,ABSTENCION
,MENDOZA ARÉVALO DANIEL ISAAC,42.0,,ABSTENCION
,OCHOA MORANTE MANUEL ALFREDO,45.0,,ABSTENCION
,ORELLANA ROMÁN ROSA GINA,46.0,,ABSTENCION
,PALACIOS VELÁSQUEZ SONIA LUCRECIA,47.0,,ABSTENCION
,PEÑA PACHECO XIMENA DEL ROCÍO,48.0,,ABSTENCION
,PLAZA CASTILLO LENIN,49.0,,ABSTENCION
,POMA HERRERA YOFRE MARTÍN,50.0,,ABSTENCION
,QUIJIJE DELGADO LUIS RAFAEL,52.0,,ABSTENCION
,QUIÑONEZ OCAMPO JULIO CÉSAR,53.0,,ABSTENCION
,PARRA VILLACIS JONATHAN EMANUEL,56.0,,ABSTENCION
,SALGADO ANDRADE SILVIA BETZABETH,57.0,,ABSTENCION
,VERA RODRÍGUEZ CARLOS ALFREDO,65.0,,ABSTENCION
,YUNDA MACHADO JORGE HOMERO,69.0,,ABSTENCION
,ANDRADE MUÑOZ WILMA PIEDAD,71.0,,ABSTENCION
,ASÁN WONSANG JOSÉ FRANCISCO,72.0,,ABSTENCION
,AUQUILLA ORTEGA RAÚL VICENTE,73.0,,ABSTENCION
,ZAMBRANO CASTRO NORALMA ELIZABETH,76.0,,ABSTENCION
,AZUERO RODAS ELISEO ALEXIS,77.0,,ABSTENCION
,CUCALÓN CAMACHO HENRY EDUARDO,78.0,,ABSTENCION
,FALQUEZ BATALLAS PEDRO CARLOS,79.0,,ABSTENCION
,CALLEJAS BARONA FERNANDO,80.0,,ABSTENCION
,VEGAY JIPA LUZ AIDA,84.0,,ABSTENCION
,SINMALEZA SÁNCHEZ ÁNGEL RUPERTO,85.0,,ABSTENCION
,YANDÚN POZO CÁSTULO RENÉ,86.0,,ABSTENCION
,HENRÍQUEZ JAIME PATRICIA IVONNE,87.0,,ABSTENCION
,JARAMILLO ZURITA PAOLA MICHAEL,88.0,,ABSTENCION
