curul,asambleista,voto
8,MARQUEZ LOPEZ JOSE LENIN,AUSENTE
18,CARRIÓN CEVALLOS MARÍA JOSÉ,AUSENTE
20,TENORIO VALENCIA CALLETANO,AUSENTE
21,CERDA MIRANDA GABRIELA PAMELA,AUSENTE
25,CUESTA RÍOS LIUBA ELISA,AUSENTE
41,MELO GARZÓN ESTEBAN ANDRÉS,AUSENTE
61,SOLIZ CARRIÓN DORIS JOSEFINA,AUSENTE
63,VELIN CORTÉS JUAN PABLO,AUSENTE
68,YAR ARAUJO JUAN CARLOS,AUSENTE
88,KRONFLE KOZHAYA HENRY FABIÁN,AUSENTE
98,"PASSAILAIGUE MANOSALVAS DALLYANAMARIANELA",AUSENTE
100,CURICHUMBI YUPANQUI PEDRO,AUSENTE
107,CANDELL SOTO JAIME ENRIQUE JIMMY,AUSENTE
1,AGUIÑAGA VALLEJO PAOLA MARCELA,SI
2,ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,SI
3,SERRANO SALGADO JOSÉ RICARDO,SI
4,ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,SI
5,ARIAS RAMÍREZ ALBERTO JESÚS,SI
6,SALINAS OCHOA CAMILO AURELIO,SI
7,ARTEAGA MUÑOZ KARINA CECILIA,SI
9,BERGMANN REYNA CARLOS ALBERTO,SI
10,BONILLA SALCEDO VIVIANA,SI
11,BUENDÍA HERDOÍZA MARÍA SOLEDAD,SI
12,BUSTAMANTE MONTEROS RUBÉN ALEJANDRO,SI
13,CABEZAS GUERRERO ELIZABETH ENRIQUETA,SI
14,DELGADO ORLANDO CÉSAR ANTONIO,SI
15,CALLE VERZOZI HERMUY,SI
16,CAMBALA MONTECE CARLOS ALBERTO,SI
17,CÁRDENAS ESPINOZA JUAN JORGE,SI
19,VALLEJO JARAMILLO NORMA MARLENE,SI
22,CHALÁ CRUZ JOSÉ FRANKLIN,SI
23,CHÁVEZ BAJAÑA KHARLA DEL ROCÍO,SI
24,COROZO AYOVÍ JORGE WILBER,SI
26,CUESTA SANTANA ESTHER ADELINA,SI
27,DOUMET CHEDRAUI MICHEL ANDRÉS,SI
28,DURÁN AGUILAR LILIANA ELIZABETH,SI
29,ESPÍN REYES EUGENIA SOFÍA,SI
30,ESPINOSA ANDRADE AUGUSTO XAVIER,SI
31,FLOR GIL BRENDA AZUCENA,SI
32,GARCÍA GAIBOR CARMEN MERCEDES,SI
33,GARCÍA POZO DIEGO OSWALDO,SI
34,MORENO CHIRIBOGA AMPARO DIANA,SI
35,GAVILÁNEZ CAMACHO FAFO HOLGUÍN,SI
36,GUEVARA VILLACRÉS VERÓNICA MARGARITA,SI
37,HOLGUÍN NARANJO MARCELA PRISCILA,SI
38,LITARDO CAICEDO CÉSAR ERNESTO,SI
39,LLORET VALDIVIESO JUAN CRISTÓBAL,SI
40,MARÍN AGUIRRE ANA BELÉN,SI
42,MENDOZA ARÉVALO DANIEL ISAAC,SI
43,PAREDES BENAVIDES LIDIA VICTORIA,SI
44,NARANJO ALVARADO PRISCILA AMAPOLA,SI
