103,34,asambleista,curul,total ausente,total si,voto
,,ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,2,,,AUSENTE
,,SERRANO SALGADO JOSÉ RICARDO,3,,,AUSENTE
,,OVIEDO ENDERICA DANIELA NATHALY,5,,,AUSENTE
,,BERGMANN REYNA CARLOS ALBERTO,9,,,AUSENTE
,,BUENDÍA HERDOÍZA MARÍA SOLEDAD,11,,,AUSENTE
,,CABEZAS GUERRERO ELIZABETH ENRIQUETA,13,,,AUSENTE
,,CADENA VÉLEZ KARLA GABRIELA,14,,,AUSENTE
,,CARRIÓN CEVALLOS MARÍA JOSÉ,18,,,AUSENTE
,,VALLEJO JARAMILLO NORMA MARLENE,19,,,AUSENTE
,,DURÁN AGUILAR LILIANA ELIZABETH,28,,,AUSENTE
,,MARÍN AGUIRRE ANA BELÉN,40,,,AUSENTE
,,MENDOZA ARÉVALO DANIEL ISAAC,42,,,AUSENTE
,,PEÑA PACHECO XIMENA DEL ROCÍO,48,,,AUSENTE
,,RODRÍGUEZ CEDEÑO ROSA ELENA,53,,,AUSENTE
,,SALAZAR CEDEÑO GUADALUPE DOLORES,56,,,AUSENTE
,,VELIN CORTÉS JUAN PABLO,63,,,AUSENTE
,,VERA FLORES WENDY VANESSA,64,,,AUSENTE
,,VERA RODRÍGUEZ CARLOS ALFREDO,65,,,AUSENTE
,,VITERI GUALINGA CARLOS ELOY,67,,,AUSENTE
,,YAR ARAUJO JUAN CARLOS,68,,,AUSENTE
,,YUNDA MACHADO JORGE HOMERO,69,,,AUSENTE
,,ZAMBRANO ARTEAGA JOSE RICARDO,70,,,AUSENTE
,,AUQUILLA ORTEGA RAÚL VICENTE,73,,,AUSENTE
,,CRUZ PROAÑO LUDOVICO ISRAEL,91,,,AUSENTE
,,MONTAÑO GUISAMANO MAYRA MIGDONIA,97,,,AUSENTE
,,GÓMEZ ALCÍVAR ROBERTO ANDRÉS,105,,,AUSENTE
,,ZAMBRANO VERA MARIANO,106,,,AUSENTE
,,OLIVO PALLO JAIME FERNANDO,109,,,AUSENTE
,,VARGAS SÁNCHEZ GRETTY LEILA,118,,,AUSENTE
,,TELLO BENALCÁZAR RAÚL ESTUPIÑAN,121,,,AUSENTE
,,CUESTA CONCARI MARÍA MERCEDES,122,,,AUSENTE
,,PEÑAFIEL IZQUIERDO EDDY COLÓN,123,,,AUSENTE
,,UGARTE GUZMÁN BLANCA ROSANA,127,,,AUSENTE
,,VINTIMILLA MOSCOSO PAOLA,128,,,AUSENTE
,,AGUIÑAGA VALLEJO PAOLA MARCELA,1,,,SI
,,ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,4,,,SI
,,ARREGUI RUEDA MARCIA CECILIA,6,,,SI
,,ARTEAGA MUÑOZ KARINA CECILIA,7,,,SI
,,BENAVIDES ZAMBRANO ZOILA TERESA,8,,,SI
,,BONILLA SALCEDO VIVIANA,10,,,SI
,,BUSTAMANTE MONTEROS RUBÉN ALEJANDRO,12,,,SI
,,CALLE VERZOZI HERMUY,15,,,SI
,,CAMBALA MONTECE CARLOS ALBERTO,16,,,SI
,,CÁRDENAS ESPINOZA JUAN JORGE,17,,,SI
,,TENORIO VALENCIA CALLETANO,20,,,SI
,,CERDA MIRANDA GABRIELA PAMELA,21,,,SI
,,CHALÁ CRUZ JOSÉ FRANKLIN,22,,,SI
,,CHÁVEZ BAJAÑA KHARLA DEL ROCÍO,23,,,SI
,,COROZO AYOVÍ JORGE WILBER,24,,,SI
,,CUESTA RÍOS LIUBA ELISA,25,,,SI
,,CUESTA SANTANA ESTHER ADELINA,26,,,SI
,,RUIZ CEDEÑO ANA BELÉN,27,,,SI
,,ESPÍN REYES EUGENIA SOFÍA,29,,,SI
,,ESPINOSA ANDRADE AUGUSTO XAVIER,30,,,SI
,,FLOR GIL BRENDA AZUCENA,31,,,SI
,,GARCÍA GAIBOR CARMEN MERCEDES,32,,,SI
,,GARCÍA POZO DIEGO OSWALDO,33,,,SI
,,GARZÓN RICAURTE WILLIAM ANTONIO,34,,,SI
,,GAVILÁNEZ CAMACHO FAFO HOLGUÍN,35,,,SI
,,GUEVARA VILLACRÉS VERÓNICA MARGARITA,36,,,SI
,,HOLGUÍN NARANJO MARCELA PRISCILA,37,,,SI
,,LITARDO CAICEDO CÉSAR ERNESTO,38,,,SI
,,LLORET VALDIVIESO JUAN CRISTÓBAL,39,,,SI
,,MELO GARZÓN ESTEBAN ANDRÉS,41,,,SI
,,MUÑOZ LÓPEZ CHRISTIAN PABEL,43,,,SI
,,NARANJO ALVARADO PRISCILA AMAPOLA,44,,,SI
,,OCHOA MORANTE MANUEL ALFREDO,45,,,SI
,,ORELLANA ROMÁN ROSA GINA,46,,,SI
,,PALACIOS VELÁSQUEZ SONIA LUCRECIA,47,,,SI
,,PLAZA CASTILLO LENIN,49,,,SI
,,ANDRADE VILLAPRADO NELLY LISSETH,50,,,SI
,,PROAÑO CIFUENTES ROBERTH MAURICIO,51,,,SI
,,QUIJIJE DELGADO LUIS RAFAEL,52,,,SI
,,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,54,,,SI
,,RIVADENEIRA BUSTOS CARMEN MERCEDES,55,,,SI
,,SALGADO ANDRADE SILVIA BETZABETH,57,,,SI
,,SAMANIEGO MAIGUA FRANKLIN OMAR,58,,,SI
,,YAGUANA ECHEVERRÍA ANDREA ALEXANDRA,59,,,SI
,,ALEMÁN MARMOL MÓNICA ROCÍO,60,,,SI
,,SOLIZ CARRIÓN DORIS JOSEFINA,61,,,SI
,,TENEZACA LOPEZ MABEL MICHELL,62,,,SI
,,VILLALVA MIRANDA LIRA DE LA PAZ,66,,,SI
,,ANDRADE MUÑOZ WILMA PIEDAD,71,,,SI
,,ASÁN WONSANG JOSÉ FRANCISCO,72,,,SI
,,BERNAL BERNAL ESTEBAN REMIGIO,74,,,SI
,,BURBANO MONTENEGRO FÉLIX FERNANDO,75,,,SI
,,ZAMBRANO CASTRO NORALMA ELIZABETH,76,,,SI
,,AZUERO RODAS ELISEO ALEXIS,77,,,SI
,,CUCALÓN CAMACHO HENRY EDUARDO,78,,,SI
,,SERRANO VITERI MERCEDES MARITZA,79,,,SI
,,SUÁREZ PROAÑO LUIS FERNANDO,80,,,SI
,,CAMPAIN BRAMBILLA RINA ASUNCIÓN,81,,,SI
,,CAMPOVERDE ROBLES EMILIO ABSALÓN,82,,,SI
,,CORONEL PÁEZ OSWALDO MARCELO,83,,,SI
,,ZAMBRANO CHACHA ALBERTO ALEXANDER,84,,,SI
,,SINMALEZA SÁNCHEZ ÁNGEL RUPERTO,85,,,SI
,,YANDÚN POZO CÁSTULO RENÉ,86,,,SI
,,HENRÍQUEZ JAIME PATRICIA IVONNE,87,,,SI
,,JARAMILLO ZURITA PAOLA MICHAEL,88,,,SI
,,CASTANIER JARAMILLO XAVIER HOMERO,89,,,SI
,,LÓPEZ GÓMEZ DE LA TORRE MARÍA CRISTINA,90,,,SI
,,CRUZ VACA JEANNINE DEL CISNE,92,,,SI
,,MEDINA RAMÍREZ JOSÉ ALFREDO,93,,,SI
,,ZAMBRANO VALLE EDUARDO MAURICIO,94,,,SI
,,CADENA HUERTAS FRANCISCO JAVIER,95,,,SI
,,PEÑA ONTANEDA ELIO GERMÁN,96,,,SI
,,,98,,,SI
,,REYES HIDALGO CRISTINA EUGENIA,99,,,SI
,,CURICHUMBI YUPANQUI PEDRO,100,,,SI
,,DONOSO CHIRIBOGA PATRICIO,101,,,SI
,,FLORES VÁSQUEZ FERNANDO PATRICIO,102,,,SI
,,GALARZA AÑAZCO ANA MERCEDES,103,,,SI
,,GENDE CALAZACÓN ANGEL MESÍAS,104,,,SI
,,CANDELL SOTO JAIME ENRIQUE JIMMY,107,,,SI
,,DUCHI GUAMÁN MARÍA ENCARNACIÓN,108,,,SI
,,SAAVEDRA MARTÍNEZ VIOLETA LEONOR,110,,,SI
,,TAIANO BASANTE VICENTE GIOVANNY,111,,,SI
,,TERÁN SALCEDO RAMÓN FORTUNATO,112,,,SI
,,TORRES TORRES LUIS FERNANDO,113,,,SI
,,LARREÁTEGUI FABARA MARÍA GABRIELA,114,,,SI
,,CARBO AGUIRRE JONATHAN ALEXI,115,,,SI
,,MINCHALA MURILLO RÓMULO MARCELO,116,,,SI
,,MONTAÑO VALENCIA MAE,117,,,SI
,,MUÑOZ ALARCÓN HÉCTOR PATRICIO,119,,,SI
,,PACHALA POMA LUIS ALBERTO,120,,,SI
,,PUANCHIR PAYASHÑA TITO PEDRO,124,,,SI
,,ALARCÓN GUILLÍN FREDY OSCAR,125,,,SI
,,BOHÓRQUEZ PANTOJA VALERIA DEL CARMEN,126,,,SI
,,ZAMBRANO ORTIZ MARÍA ROBERTA,129,,,SI
,,PALACIOS MUÑOZ JUAN SEBASTIÁN,130,,,SI
,,PAREDES TORRES WASHINGTON ARTURO,131,,,SI
,,ROMERO LOAYZA FRANCO SEGUNDO,132,,,SI
,,SIMBAÑA VILLARREAL ABDÓN MARCELO,133,,,SI
,,SUQUILANDA VALDIVIESO BYRON VINICIO,134,,,SI
,,VERA MENDOZA TANLLY JANELA,135,,,SI
,,VILLAMAR JÁCOME PEDRO FABRICIO,136,,,SI
,,YÉPEZ MARTÍNEZ HÉCTOR JOSÉ,137,,,SI
