69,asambleista,curul,total si,voto
,ARREGUI RUEDA MARCIA CECILIA,6.0,,AUSENTE
,CALLE VERZOZI HERMUY,15.0,,AUSENTE
,VALLEJO JARAMILLO NORMA MARLENE,19.0,,AUSENTE
,CUESTA RÍOS LIUBA ELISA,25.0,,AUSENTE
,GARCÍA MARTÍNEZ INGRID VANESSA,31.0,,AUSENTE
,HOLGUÍN NARANJO MARCELA PRISCILA,37.0,,AUSENTE
,OCHOA MORANTE MANUEL ALFREDO,45.0,,AUSENTE
,POMA HERRERA YOFRE MARTÍN,50.0,,AUSENTE
,SALAZAR CEDEÑO GUADALUPE DOLORES,56.0,,AUSENTE
,VERA RODRÍGUEZ CARLOS ALFREDO,65.0,,AUSENTE
,GUAMBA DÍAZ NANCY JEANNETH,69.0,,AUSENTE
,KRONFLE KOZHAYA HENRY FABIÁN,88.0,,AUSENTE
,ZAMBRANO VERA MARIANO,106.0,,AUSENTE
,ROHON HERVAS CÉSAR EDUARDO,110.0,,AUSENTE
,TORRES TORRES LUIS FERNANDO,113.0,,AUSENTE
,UGARTE GUZMÁN BLANCA ROSANA,127.0,,AUSENTE
,ARTEAGA MUÑOZ KARINA CECILIA,7.0,,SI
,CABEZAS GUERRERO ELIZABETH ENRIQUETA,13.0,,SI
,CARRIÓN CEVALLOS MARÍA JOSÉ,18.0,,SI
,RUIZ CEDEÑO ANA BELÉN,27.0,,SI
,LITARDO CAICEDO CÉSAR ERNESTO,38.0,,SI
,MARÍN AGUIRRE ANA BELÉN,40.0,,SI
,MENDOZA ARÉVALO DANIEL ISAAC,42.0,,SI
,PALACIOS VELÁSQUEZ SONIA LUCRECIA,47.0,,SI
,ORTEGA ALVAREZ CARLOS UREL,48.0,,SI
,YAR ARAUJO JUAN CARLOS,68.0,,SI
,ANDRADE MUÑOZ WILMA PIEDAD,71.0,,SI
,ZAMBRANO ALCÍVAR MAGDA XIOMARA,72.0,,SI
,AUQUILLA ORTEGA RAÚL VICENTE,73.0,,SI
,BERNAL BERNAL ESTEBAN REMIGIO,74.0,,SI
,BURBANO MONTENEGRO FÉLIX FERNANDO,75.0,,SI
,ZAMBRANO CASTRO NORALMA ELIZABETH,76.0,,SI
,AZUERO RODAS ELISEO ALEXIS,77.0,,SI
,ORDOÑEZ ZAMBRANO SANDRA DEL ROCÍO,78.0,,SI
,FALQUEZ BATALLAS PEDRO CARLOS,79.0,,SI
,CALLEJAS BARONA FERNANDO,80.0,,SI
,CAMPAIN BRAMBILLA RINA ASUNCIÓN,81.0,,SI
,CAMPOVERDE ROBLES EMILIO ABSALÓN,82.0,,SI
,CARRIÓN MORENO CÉSAR ATAULFO,83.0,,SI
,YANDÚN POZO CÁSTULO RENÉ,86.0,,SI
,HENRÍQUEZ JAIME PATRICIA IVONNE,87.0,,SI
,CASTANIER JARAMILLO XAVIER HOMERO,89.0,,SI
,CELI SANTOS GUILLERMO ALEJANDRO,90.0,,SI
,CRUZ PROAÑO LUDOVICO ISRAEL,91.0,,SI
,CRUZ VACA JEANNINE DEL CISNE,92.0,,SI
,MEDINA RAMÍREZ JOSÉ ALFREDO,93.0,,SI
,PASPUEL GARCÍA REBECA SILVANA,95.0,,SI
,PEÑA ONTANEDA ELIO GERMÁN,96.0,,SI
,MONTAÑO GUISAMANO MAYRA MIGDONIA,97.0,,SI
,RODRÍGUEZ CUESTA JORGE IGNACIO,98.0,,SI
,REYES HIDALGO CRISTINA EUGENIA,99.0,,SI
,CURICHUMBI YUPANQUI PEDRO,100.0,,SI
,DONOSO CHIRIBOGA PATRICIO,101.0,,SI
,FLORES VÁSQUEZ FERNANDO PATRICIO,102.0,,SI
,GALARZA AÑAZCO ANA MERCEDES,103.0,,SI
,GENDE CALAZACÓN ANGEL MESÍAS,104.0,,SI
,GÓMEZ ALCÍVAR ROBERTO ANDRÉS,105.0,,SI
,CANDELL SOTO JAIME ENRIQUE JIMMY,107.0,,SI
,DUCHI GUAMÁN MARÍA ENCARNACIÓN,108.0,,SI
,OLIVO PALLO JAIME FERNANDO,109.0,,SI
,TAIANO BASANTE VICENTE GIOVANNY,111.0,,SI
,NUÑEZ MANSSUR LUIS ANTONIO,112.0,,SI
,LARREÁTEGUI FABARA MARÍA GABRIELA,114.0,,SI
,MENDOZA PALMA JOFFRE PATRICIO,115.0,,SI
,MINCHALA MURILLO RÓMULO MARCELO,116.0,,SI
,MONTAÑO VALENCIA MAE,117.0,,SI
,MORENO GUERRERO HENRY FREDY,118.0,,SI
,MUÑOZ ALARCÓN HÉCTOR PATRICIO,119.0,,SI
,PACHALA POMA LUIS ALBERTO,120.0,,SI
,TELLO BENALCÁZAR RAÚL ESTUPIÑAN,121.0,,SI
,CUESTA CONCARI MARÍA MERCEDES,122.0,,SI
,PEÑAFIEL IZQUIERDO EDDY COLÓN,123.0,,SI
,PUANCHIR PAYASHÑA TITO PEDRO,124.0,,SI
,ALARCÓN GUILLÍN FREDY OSCAR,125.0,,SI
,SOLORZANO SARRIA CESAR FAUSTO,126.0,,SI
,VINTIMILLA MOSCOSO PAOLA,128.0,,SI
,ZAMBRANO ORTIZ MARÍA ROBERTA,129.0,,SI
,PALACIOS MUÑOZ JUAN SEBASTIÁN,130.0,,SI
,PAREDES TORRES WASHINGTON ARTURO,131.0,,SI
,ROMERO LOAYZA FRANCO SEGUNDO,132.0,,SI
,SIMBAÑA VILLARREAL ABDÓN MARCELO,133.0,,SI
,SUQUILANDA VALDIVIESO BYRON VINICIO,134.0,,SI
,VERA MENDOZA TANLLY JANELA,135.0,,SI
,VILLAMAR JÁCOME PEDRO FABRICIO,136.0,,SI
,YÉPEZ MARTÍNEZ HÉCTOR JOSÉ,137.0,,SI
,AGUIÑAGA VALLEJO PAOLA MARCELA,1.0,,NO
,ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,2.0,,NO
,SERRANO SALGADO JOSÉ RICARDO,3.0,,NO
,ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,4.0,,NO
,BENAVIDES ZAMBRANO ZOILA TERESA,8.0,,NO
,BERGMANN REYNA CARLOS ALBERTO,9.0,,NO
,BONILLA SALCEDO VIVIANA,10.0,,NO
,BUENDÍA HERDOÍZA MARÍA SOLEDAD,11.0,,NO
,BUSTAMANTE MONTEROS RUBÉN ALEJANDRO,12.0,,NO
,CAMBALA MONTECE CARLOS ALBERTO,16.0,,NO
,CÁRDENAS ESPINOZA JUAN JORGE,17.0,,NO
,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,20.0,,NO
,CERDA MIRANDA GABRIELA PAMELA,21.0,,NO
,CHALÁ CRUZ JOSÉ FRANKLIN,22.0,,NO
,CHÁVEZ BAJAÑA KHARLA DEL ROCÍO,23.0,,NO
,COROZO AYOVÍ JORGE WILBER,24.0,,NO
,CUESTA SANTANA ESTHER ADELINA,26.0,,NO
,DURÁN AGUILAR LILIANA ELIZABETH,28.0,,NO
,ESPÍN REYES EUGENIA SOFÍA,29.0,,NO
,ESPINOSA ANDRADE AUGUSTO XAVIER,30.0,,NO
,GARCÍA GAIBOR CARMEN MERCEDES,32.0,,NO
,GARCÍA POZO DIEGO OSWALDO,33.0,,NO
,GARZÓN RICAURTE WILLIAM ANTONIO,34.0,,NO
,GAVILÁNEZ CAMACHO FAFO HOLGUÍN,35.0,,NO
,GUEVARA VILLACRÉS VERÓNICA MARGARITA,36.0,,NO
,LLORET VALDIVIESO JUAN CRISTÓBAL,39.0,,NO
