34,69,asambleista,curul,total abstencion,total si,voto
,,ARREGUI RUEDA MARCIA CECILIA,6.0,,,AUSENTE
,,MONTESDEOCA PALACIOS JOSÉ DANIEL,7.0,,,AUSENTE
,,BERGMANN REYNA CARLOS ALBERTO,9.0,,,AUSENTE
,,BUSTAMANTE MONTEROS RUBÉN ALEJANDRO,12.0,,,AUSENTE
,,CADENA VÉLEZ KARLA GABRIELA,14.0,,,AUSENTE
,,CERDA MIRANDA GABRIELA PAMELA,21.0,,,AUSENTE
,,COROZO AYOVÍ JORGE WILBER,24.0,,,AUSENTE
,,CUESTA SANTANA ESTHER ADELINA,26.0,,,AUSENTE
,,LITARDO CAICEDO CÉSAR ERNESTO,38.0,,,AUSENTE
,,MELO GARZÓN ESTEBAN ANDRÉS,41.0,,,AUSENTE
,,RODRÍGUEZ CEDEÑO ROSA ELENA,53.0,,,AUSENTE
,,SALAZAR CEDEÑO GUADALUPE DOLORES,56.0,,,AUSENTE
,,SALGADO ANDRADE SILVIA BETZABETH,57.0,,,AUSENTE
,,SÁNCHEZ REYES MONTGOMERY,59.0,,,AUSENTE
,,ZAMBRANO ARTEAGA JOSE RICARDO,70.0,,,AUSENTE
,,MALDONADO JARAMILLO MARÍA ISABEL,73.0,,,AUSENTE
,,CAMPAIN BRAMBILLA RINA ASUNCIÓN,81.0,,,AUSENTE
,,YANDÚN POZO CÁSTULO RENÉ,86.0,,,AUSENTE
,,JARAMILLO ZURITA PAOLA MICHAEL,88.0,,,AUSENTE
,,CELI SANTOS GUILLERMO ALEJANDRO,90.0,,,AUSENTE
,,CRUZ VACA JEANNINE DEL CISNE,92.0,,,AUSENTE
,,CUESTA ORELLANA MARÍA DE LOURDES,93.0,,,AUSENTE
,,DONOSO CHIRIBOGA PATRICIO,101.0,,,AUSENTE
,,FLORES VÁSQUEZ FERNANDO PATRICIO,102.0,,,AUSENTE
,,MACÍAS ORTEGA WENDY ELENA MARISOL,106.0,,,AUSENTE
,,CANDELL SOTO JAIME ENRIQUE JIMMY,107.0,,,AUSENTE
,,TORRES TORRES LUIS FERNANDO,113.0,,,AUSENTE
,,GARCIA CANO LUIGI FRANCISCO,122.0,,,AUSENTE
,,PUANCHIR PAYASHÑA TITO PEDRO,124.0,,,AUSENTE
,,VINTIMILLA MOSCOSO PAOLA,128.0,,,AUSENTE
,,BECERRA HERNÁNDEZ JUAN CARLOS,131.0,,,AUSENTE
,,SUQUILANDA VALDIVIESO BYRON VINICIO,134.0,,,AUSENTE
,,VILLAMAR JÁCOME PEDRO FABRICIO,136.0,,,AUSENTE
,,AGUIÑAGA VALLEJO PAOLA MARCELA,1.0,,,SI
,,ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,2.0,,,SI
,,SERRANO SALGADO JOSÉ RICARDO,3.0,,,SI
,,ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,4.0,,,SI
,,BENAVIDES ZAMBRANO ZOILA TERESA,8.0,,,SI
,,BONILLA SALCEDO VIVIANA,10.0,,,SI
,,BUENDÍA HERDOÍZA MARÍA SOLEDAD,11.0,,,SI
,,CALLE VERZOZI HERMUY,15.0,,,SI
,,CÁRDENAS ESPINOZA JUAN JORGE,17.0,,,SI
,,CHALÁ CRUZ JOSÉ FRANKLIN,22.0,,,SI
,,DURÁN AGUILAR LILIANA ELIZABETH,28.0,,,SI
,,ALEAGA SANTOS RONNY XAVIER,29.0,,,SI
,,ESPINOSA ANDRADE AUGUSTO XAVIER,30.0,,,SI
,,GARCÍA GAIBOR CARMEN MERCEDES,32.0,,,SI
,,GARCÍA POZO DIEGO OSWALDO,33.0,,,SI
,,GUEVARA VILLACRÉS VERÓNICA MARGARITA,36.0,,,SI
,,HOLGUÍN NARANJO MARCELA PRISCILA,37.0,,,SI
,,LLORET VALDIVIESO JUAN CRISTÓBAL,39.0,,,SI
,,MUÑOZ LÓPEZ CHRISTIAN PABEL,43.0,,,SI
,,NARANJO ALVARADO PRISCILA AMAPOLA,44.0,,,SI
,,POMA HERRERA YOFRE MARTÍN,50.0,,,SI
,,PROAÑO CIFUENTES ROBERTH MAURICIO,51.0,,,SI
,,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,54.0,,,SI
,,RIVADENEIRA BUSTOS CARMEN MERCEDES,55.0,,,SI
,,SAMANIEGO MAIGUA FRANKLIN OMAR,58.0,,,SI
,,ALEMÁN MARMOL MÓNICA ROCÍO,60.0,,,SI
,,SOLIZ CARRIÓN DORIS JOSEFINA,61.0,,,SI
,,VALLE PINARGOTE BAIRON LEONARDO,62.0,,,SI
,,VERA FLORES WENDY VANESSA,64.0,,,SI
,,VILLALVA MIRANDA LIRA DE LA PAZ,66.0,,,SI
,,VITERI GUALINGA CARLOS ELOY,67.0,,,SI
,,BURBANO MONTENEGRO FÉLIX FERNANDO,75.0,,,SI
,,ZAMBRANO VALLE EDUARDO MAURICIO,94.0,,,SI
,,UGARTE GUZMÁN BLANCA ROSANA,127.0,,,SI
,,MENDOZA ARÉVALO DANIEL ISAAC,42,,,NO
,,ARIAS RAMÍREZ ALBERTO JESÚS,5,,,ABSTENCION
,,CABEZAS GUERRERO ELIZABETH ENRIQUETA,13,,,ABSTENCION
,,CAMBALA MONTECE CARLOS ALBERTO,16,,,ABSTENCION
,,CARRIÓN CEVALLOS MARÍA JOSÉ,18,,,ABSTENCION
,,VALLEJO JARAMILLO NORMA MARLENE,19,,,ABSTENCION
,,TENORIO VALENCIA CALLETANO,20,,,ABSTENCION
,,CHÁVEZ BAJAÑA KHARLA DEL ROCÍO,23,,,ABSTENCION
,,CUESTA RÍOS LIUBA ELISA,25,,,ABSTENCION
,,DOUMET CHEDRAUI MICHEL ANDRÉS,27,,,ABSTENCION
,,FLOR GIL BRENDA AZUCENA,31,,,ABSTENCION
,,GARZÓN RICAURTE WILLIAM ANTONIO,34,,,ABSTENCION
,,GAVILÁNEZ CAMACHO FAFO HOLGUÍN,35,,,ABSTENCION
,,MARÍN AGUIRRE ANA BELÉN,40,,,ABSTENCION
,,ORDOÑEZ JARAMILLO DIANA MARINA,45,,,ABSTENCION
,,ORELLANA ROMÁN ROSA GINA,46,,,ABSTENCION
,,PALACIOS VELÁSQUEZ SONIA LUCRECIA,47,,,ABSTENCION
,,PEÑA PACHECO XIMENA DEL ROCÍO,48,,,ABSTENCION
,,PLAZA CASTILLO LENIN,49,,,ABSTENCION
,,TORRES CEDEÑO ELENA ANYELINE,52,,,ABSTENCION
,,VELIN CORTÉS JUAN PABLO,63,,,ABSTENCION
,,VERA RODRÍGUEZ CARLOS ALFREDO,65,,,ABSTENCION
,,YAR ARAUJO JUAN CARLOS,68,,,ABSTENCION
,,YUNDA MACHADO JORGE HOMERO,69,,,ABSTENCION
,,ANDRADE MUÑOZ WILMA PIEDAD,71,,,ABSTENCION
,,ASÁN WONSANG JOSÉ FRANCISCO,72,,,ABSTENCION
,,BERNAL BERNAL ESTEBAN REMIGIO,74,,,ABSTENCION
,,ZAMBRANO CASTRO NORALMA ELIZABETH,76,,,ABSTENCION
,,AZUERO RODAS ELISEO ALEXIS,77,,,ABSTENCION
,,CUCALÓN CAMACHO HENRY EDUARDO,78,,,ABSTENCION
,,AÑAZCO ROMERO DOLORES LETICIA,79,,,ABSTENCION
,,CALLEJAS BARONA FERNANDO,80,,,ABSTENCION
