34,35,asambleista,curul,total abstencion,total no,voto
,,CÁRDENAS ESPINOZA JUAN JORGE,17,,,AUSENTE
,,VALLEJO JARAMILLO NORMA MARLENE,19,,,AUSENTE
,,CERDA MIRANDA GABRIELA PAMELA,21,,,AUSENTE
,,CUESTA RÍOS LIUBA ELISA,25,,,AUSENTE
,,FLOR GIL BRENDA AZUCENA,31,,,AUSENTE
,,PEÑA PACHECO XIMENA DEL ROCÍO,48,,,AUSENTE
,,YAGUANA ECHEVERRÍA ANDREA ALEXANDRA,59,,,AUSENTE
,,MOLINA ONOFA LUIS FERNANDO,60,,,AUSENTE
,,VERA FLORES WENDY VANESSA,64,,,AUSENTE
,,GUAMBA DÍAZ NANCY JEANNETH,69,,,AUSENTE
,,ZAMBRANO ARTEAGA JOSE RICARDO,70,,,AUSENTE
,,ARIAS RAMÍREZ ALBERTO JESÚS,5,,,SI
,,SALINAS OCHOA CAMILO AURELIO,6,,,SI
,,MONTESDEOCA PALACIOS JOSÉ DANIEL,7,,,SI
,,BUSTAMANTE MONTEROS RUBÉN ALEJANDRO,12,,,SI
,,CABEZAS GUERRERO ELIZABETH ENRIQUETA,13,,,SI
,,CAMBALA MONTECE CARLOS ALBERTO,16,,,SI
,,CARRIÓN CEVALLOS MARÍA JOSÉ,18,,,SI
,,TENORIO VALENCIA CALLETANO,20,,,SI
,,DOUMET CHEDRAUI MICHEL ANDRÉS,27,,,SI
,,MORENO CHIRIBOGA AMPARO DIANA,34,,,SI
,,GAVILÁNEZ CAMACHO FAFO HOLGUÍN,35,,,SI
,,LITARDO CAICEDO CÉSAR ERNESTO,38,,,SI
,,MARÍN AGUIRRE ANA BELÉN,40,,,SI
,,MENDOZA ARÉVALO DANIEL ISAAC,42,,,SI
,,OCHOA MORANTE MANUEL ALFREDO,45,,,SI
,,ORELLANA ROMÁN ROSA GINA,46,,,SI
,,PALACIOS VELÁSQUEZ SONIA LUCRECIA,47,,,SI
,,PLAZA CASTILLO LENIN,49,,,SI
,,ANDRADE VILLAPRADO NELLY LISSETH,50,,,SI
,,QUIJIJE DELGADO LUIS RAFAEL,52,,,SI
,,RODRÍGUEZ CEDEÑO ROSA ELENA,53,,,SI
,,SALAZAR CEDEÑO GUADALUPE DOLORES,56,,,SI
,,VERA RODRÍGUEZ CARLOS ALFREDO,65,,,SI
,,YAR ARAUJO JUAN CARLOS,68,,,SI
,,ZAMBRANO ALCÍVAR MAGDA XIOMARA,72,,,SI
,,AUQUILLA ORTEGA RAÚL VICENTE,73,,,SI
,,BURBANO MONTENEGRO FÉLIX FERNANDO,75,,,SI
,,ZAMBRANO CASTRO NORALMA ELIZABETH,76,,,SI
,,AZUERO RODAS ELISEO ALEXIS,77,,,SI
,,CUCALÓN CAMACHO HENRY EDUARDO,78,,,SI
,,FALQUEZ BATALLAS PEDRO CARLOS,79,,,SI
,,CALLEJAS BARONA FERNANDO,80,,,SI
,,YANDÚN POZO CÁSTULO RENÉ,86,,,SI
,,HENRÍQUEZ JAIME PATRICIA IVONNE,87,,,SI
,,KRONFLE KOZHAYA HENRY FABIÁN,88,,,SI
,,CRUZ PROAÑO LUDOVICO ISRAEL,91,,,SI
,,CADENA HUERTAS FRANCISCO JAVIER,95,,,SI
,,PEÑA ONTANEDA ELIO GERMÁN,96,,,SI
,,MONTAÑO GUISAMANO MAYRA MIGDONIA,97,,,SI
,,,98,,,SI
,,REYES HIDALGO CRISTINA EUGENIA,99,,,SI
,,DONOSO CHIRIBOGA PATRICIO,101,,,SI
,,GENDE CALAZACÓN ANGEL MESÍAS,104,,,SI
,,CANDELL SOTO JAIME ENRIQUE JIMMY,107,,,SI
,,DUCHI GUAMÁN MARÍA ENCARNACIÓN,108,,,SI
,,OLIVO PALLO JAIME FERNANDO,109,,,SI
,,ROHON HERVAS CÉSAR EDUARDO,110,,,SI
,,POVEDA ALVARADO ERIKA SOPHIA,111,,,SI
,,TERÁN SALCEDO RAMÓN FORTUNATO,112,,,SI
,,TORRES TORRES LUIS FERNANDO,113,,,SI
,,TELLO BENALCÁZAR RAÚL ESTUPIÑAN,121,,,SI
,,PEÑAFIEL IZQUIERDO EDDY COLÓN,123,,,SI
,,PUANCHIR PAYASHÑA TITO PEDRO,124,,,SI
,,ALARCÓN GUILLÍN FREDY OSCAR,125,,,SI
,,SOLORZANO SARRIA CESAR FAUSTO,126,,,SI
,,VINTIMILLA MOSCOSO PAOLA,128,,,SI
,,ESTUPIÑÁN ORTIZ BORIS EFRÉN,129,,,SI
,,AGUIÑAGA VALLEJO PAOLA MARCELA,1,,,NO
,,ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,4,,,NO
,,BUENDÍA HERDOÍZA MARÍA SOLEDAD,11,,,NO
,,CALLE VERZOZI HERMUY,15,,,NO
,,CHALÁ CRUZ JOSÉ FRANKLIN,22,,,NO
,,CUESTA SANTANA ESTHER ADELINA,26,,,NO
,,DURÁN AGUILAR LILIANA ELIZABETH,28,,,NO
,,ESPÍN REYES EUGENIA SOFÍA,29,,,NO
,,ESPINOSA ANDRADE AUGUSTO XAVIER,30,,,NO
,,GARCÍA GAIBOR CARMEN MERCEDES,32,,,NO
,,GARCÍA POZO DIEGO OSWALDO,33,,,NO
,,GUEVARA VILLACRÉS VERÓNICA MARGARITA,36,,,NO
,,HOLGUÍN NARANJO MARCELA PRISCILA,37,,,NO
,,LLORET VALDIVIESO JUAN CRISTÓBAL,39,,,NO
,,MELO GARZÓN ESTEBAN ANDRÉS,41,,,NO
,,MUÑOZ LÓPEZ CHRISTIAN PABEL,43,,,NO
,,NARANJO ALVARADO PRISCILA AMAPOLA,44,,,NO
,,PROAÑO CIFUENTES ROBERTH MAURICIO,51,,,NO
,,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,54,,,NO
,,RIVADENEIRA BUSTOS CARMEN MERCEDES,55,,,NO
,,SAMANIEGO MAIGUA FRANKLIN OMAR,58,,,NO
,,SOLIZ CARRIÓN DORIS JOSEFINA,61,,,NO
,,VALLE PINARGOTE BAIRON LEONARDO,62,,,NO
,,VILLALVA MIRANDA LIRA DE LA PAZ,66,,,NO
,,VITERI GUALINGA CARLOS ELOY,67,,,NO
,,BERNAL BERNAL ESTEBAN REMIGIO,74,,,NO
,,ZAMBRANO VALLE EDUARDO MAURICIO,94,,,NO
,,MENDOZA PALMA JOFFRE PATRICIO,115,,,NO
,,MONTAÑO VALENCIA MAE,117,,,NO
,,MORENO GUERRERO HENRY FREDY,118,,,NO
,,ROMERO LOAYZA FRANCO SEGUNDO,132,,,NO
,,VERA MENDOZA TANLLY JANELA,135,,,NO
,,VILLAMAR JÁCOME PEDRO FABRICIO,136,,,NO
,,YÉPEZ MARTÍNEZ HÉCTOR JOSÉ,137,,,NO
,,ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,2,,,ABSTENCION
,,SERRANO SALGADO JOSÉ RICARDO,3,,,ABSTENCION
,,BENAVIDES ZAMBRANO ZOILA TERESA,8,,,ABSTENCION
