34,asambleista,curul,total abstencion,total ausente,voto
,ARTEAGA MUÑOZ KARINA CECILIA,7,,,AUSENTE
,CABEZAS GUERRERO ELIZABETH ENRIQUETA,13,,,AUSENTE
,CADENA VÉLEZ KARLA GABRIELA,14,,,AUSENTE
,TENORIO VALENCIA CALLETANO,20,,,AUSENTE
,CERDA MIRANDA GABRIELA PAMELA,21,,,AUSENTE
,CUESTA RÍOS LIUBA ELISA,25,,,AUSENTE
,CUESTA SANTANA ESTHER ADELINA,26,,,AUSENTE
,DURÁN AGUILAR LILIANA ELIZABETH,28,,,AUSENTE
,FLOR GIL BRENDA AZUCENA,31,,,AUSENTE
,GARCÍA POZO DIEGO OSWALDO,33,,,AUSENTE
,GARZÓN RICAURTE WILLIAM ANTONIO,34,,,AUSENTE
,HOLGUÍN NARANJO MARCELA PRISCILA,37,,,AUSENTE
,LLORET VALDIVIESO JUAN CRISTÓBAL,39,,,AUSENTE
,MELO GARZÓN ESTEBAN ANDRÉS,41,,,AUSENTE
,MENDOZA ARÉVALO DANIEL ISAAC,42,,,AUSENTE
,OCHOA MORANTE MANUEL ALFREDO,45,,,AUSENTE
,BUSTAMANTE GARCÍA JUAN FRANCISCO,47,,,AUSENTE
,PLAZA CASTILLO LENIN,49,,,AUSENTE
,PROAÑO CIFUENTES ROBERTH MAURICIO,51,,,AUSENTE
,QUIJIJE DELGADO LUIS RAFAEL,52,,,AUSENTE
,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,54,,,AUSENTE
,YAGUANA ECHEVERRÍA ANDREA ALEXANDRA,59,,,AUSENTE
,ALEMÁN MARMOL MÓNICA ROCÍO,60,,,AUSENTE
,SOLIZ CARRIÓN DORIS JOSEFINA,61,,,AUSENTE
,VERA RODRÍGUEZ CARLOS ALFREDO,65,,,AUSENTE
,LOOR ALCÍVAR LEXI LIDUVINA,70,,,AUSENTE
,ANDRADE MUÑOZ WILMA PIEDAD,71,,,AUSENTE
,ZAMBRANO CHACHA ALBERTO ALEXANDER,84,,,AUSENTE
