34,asambleista,curul,total ausente,total no,voto
,ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,2,,,AUSENTE
,SERRANO SALGADO JOSÉ RICARDO,3,,,AUSENTE
,ARIAS RAMÍREZ ALBERTO JESÚS,5,,,AUSENTE
,ARREGUI RUEDA MARCIA CECILIA,6,,,AUSENTE
,ARTEAGA MUÑOZ KARINA CECILIA,7,,,AUSENTE
,BENAVIDES ZAMBRANO ZOILA TERESA,8,,,AUSENTE
,BONILLA SALCEDO VIVIANA,10,,,AUSENTE
,CÁRDENAS ESPINOZA JUAN JORGE,17,,,AUSENTE
,TERÁN SARZOSA SEGUNDO FAUSTO,19,,,AUSENTE
,CERDA MIRANDA GABRIELA PAMELA,21,,,AUSENTE
,CHÁVEZ BAJAÑA KHARLA DEL ROCÍO,23,,,AUSENTE
,CUESTA RÍOS LIUBA ELISA,25,,,AUSENTE
,DOUMET CHEDRAUI MICHEL ANDRÉS,27,,,AUSENTE
,GARCÍA MARTÍNEZ INGRID VANESSA,31,,,AUSENTE
,GARCÍA GAIBOR CARMEN MERCEDES,32,,,AUSENTE
,HOLGUÍN NARANJO MARCELA PRISCILA,37,,,AUSENTE
,PEÑA PACHECO XIMENA DEL ROCÍO,48,,,AUSENTE
,POMA HERRERA YOFRE MARTÍN,50,,,AUSENTE
,QUIJIJE DELGADO LUIS RAFAEL,52,,,AUSENTE
,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,54,,,AUSENTE
,SALAZAR CEDEÑO GUADALUPE DOLORES,56,,,AUSENTE
,SOLIZ CARRIÓN DORIS JOSEFINA,61,,,AUSENTE
,VELIN CORTÉS JUAN PABLO,63,,,AUSENTE
,VERA FLORES WENDY VANESSA,64,,,AUSENTE
,YAR ARAUJO JUAN CARLOS,68,,,AUSENTE
,ANDRADE MUÑOZ WILMA PIEDAD,71,,,AUSENTE
,AUQUILLA ORTEGA RAÚL VICENTE,73,,,AUSENTE
,YANDÚN POZO CÁSTULO RENÉ,86,,,AUSENTE
,CALDERÓN CHANCAY DORIS DAISY,98,,,AUSENTE
,GENDE CALAZACÓN ANGEL MESÍAS,104,,,AUSENTE
,OLIVO PALLO JAIME FERNANDO,109,,,AUSENTE
,TAIANO BASANTE VICENTE GIOVANNY,111,,,AUSENTE
,CUADRO GASTEZZI DEYSI MARIA,115,,,AUSENTE
,PALACIOS MUÑOZ JUAN SEBASTIÁN,130,,,AUSENTE
,AGUIÑAGA VALLEJO PAOLA MARCELA,1,,,SI
,ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,4,,,SI
,BERGMANN REYNA CARLOS ALBERTO,9,,,SI
,BUENDÍA HERDOÍZA MARÍA SOLEDAD,11,,,SI
,DELGADO ORLANDO CÉSAR ANTONIO,14,,,SI
,CALLE VERZOZI HERMUY,15,,,SI
,CAMBALA MONTECE CARLOS ALBERTO,16,,,SI
,CHALÁ CRUZ JOSÉ FRANKLIN,22,,,SI
,CUESTA SANTANA ESTHER ADELINA,26,,,SI
,DURÁN AGUILAR LILIANA ELIZABETH,28,,,SI
,ALEAGA SANTOS RONNY XAVIER,29,,,SI
,ESPINOSA ANDRADE AUGUSTO XAVIER,30,,,SI
,GARCÍA POZO DIEGO OSWALDO,33,,,SI
,GUEVARA VILLACRÉS VERÓNICA MARGARITA,36,,,SI
,LLORET VALDIVIESO JUAN CRISTÓBAL,39,,,SI
,MELO GARZÓN ESTEBAN ANDRÉS,41,,,SI
,MUÑOZ LÓPEZ CHRISTIAN PABEL,43,,,SI
,NARANJO ALVARADO PRISCILA AMAPOLA,44,,,SI
,PROAÑO CIFUENTES ROBERTH MAURICIO,51,,,SI
,RIVADENEIRA BUSTOS CARMEN MERCEDES,55,,,SI
,SALGADO ANDRADE SILVIA BETZABETH,57,,,SI
,SAMANIEGO MAIGUA FRANKLIN OMAR,58,,,SI
,YAGUANA ECHEVERRÍA ANDREA ALEXANDRA,59,,,SI
,ALEMÁN MARMOL MÓNICA ROCÍO,60,,,SI
,VALLE PINARGOTE BAIRON LEONARDO,62,,,SI
,VILLALVA MIRANDA LIRA DE LA PAZ,66,,,SI
,VITERI GUALINGA CARLOS ELOY,67,,,SI
,GUAMBA DÍAZ NANCY JEANNETH,69,,,SI
,LOOR ALCÍVAR LEXI LIDUVINA,70,,,SI
,ZAMBRANO VALLE EDUARDO MAURICIO,94,,,SI
,PEÑA ONTANEDA ELIO GERMÁN,96,,,SI
,ZAMBRANO VERA MARIANO,106,,,SI
,ASTUDILLO LOOR LINA GLORIA,74,,,NO
,ZAMBRANO CASTRO NORALMA ELIZABETH,76,,,NO
,AZUERO RODAS ELISEO ALEXIS,77,,,NO
,CALLEJAS BARONA FERNANDO,80,,,NO
,CAMPAIN BRAMBILLA RINA ASUNCIÓN,81,,,NO
,CARRIÓN MORENO CÉSAR ATAULFO,83,,,NO
,GONZÁLEZ VÁSCONEZ TERESITA XIMENA,85,,,NO
,CASTANIER JARAMILLO XAVIER HOMERO,89,,,NO
,CELI SANTOS GUILLERMO ALEJANDRO,90,,,NO
,CUESTA ORELLANA MARÍA DE LOURDES,93,,,NO
,PASPUEL GARCÍA REBECA SILVANA,95,,,NO
,REYES HIDALGO CRISTINA EUGENIA,99,,,NO
,DONOSO CHIRIBOGA PATRICIO,101,,,NO
,FLORES VÁSQUEZ FERNANDO PATRICIO,102,,,NO
,VERDEZOTO REINOSO ROSA ISABEL,103,,,NO
,CANDELL SOTO JAIME ENRIQUE JIMMY,107,,,NO
,DUCHI GUAMÁN MARÍA ENCARNACIÓN,108,,,NO
,LARREÁTEGUI FABARA MARÍA GABRIELA,114,,,NO
,VERA CALDERÓN SILVIA LORENA,116,,,NO
,MONTAÑO VALENCIA MAE,117,,,NO
,MUÑOZ ALARCÓN HÉCTOR PATRICIO,119,,,NO
,PACHALA POMA LUIS ALBERTO,120,,,NO
,TELLO BENALCÁZAR RAÚL ESTUPIÑAN,121,,,NO
,CUESTA CONCARI MARÍA MERCEDES,122,,,NO
,PEÑAFIEL IZQUIERDO EDDY COLÓN,123,,,NO
,PUANCHIR PAYASHÑA TITO PEDRO,124,,,NO
,ALARCÓN GUILLÍN FREDY OSCAR,125,,,NO
,ESTUPIÑÁN ORTIZ BORIS EFRÉN,129,,,NO
,ROMERO LOAYZA FRANCO SEGUNDO,132,,,NO
,SIMBAÑA VILLARREAL ABDÓN MARCELO,133,,,NO
,SUQUILANDA VALDIVIESO BYRON VINICIO,134,,,NO
,VERA MENDOZA TANLLY JANELA,135,,,NO
,VILLAMAR JÁCOME PEDRO FABRICIO,136,,,NO
,YÉPEZ MARTÍNEZ HÉCTOR JOSÉ,137,,,NO
,BUSTAMANTE MONTEROS RUBÉN ALEJANDRO,12,,,ABSTENCION
,CABEZAS GUERRERO ELIZABETH ENRIQUETA,13,,,ABSTENCION
,CARRIÓN CEVALLOS MARÍA JOSÉ,18,,,ABSTENCION
,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,20,,,ABSTENCION
,COROZO AYOVÍ JORGE WILBER,24,,,ABSTENCION
,GARZÓN RICAURTE WILLIAM ANTONIO,34,,,ABSTENCION
,GAVILÁNEZ CAMACHO FAFO HOLGUÍN,35,,,ABSTENCION
,LITARDO CAICEDO CÉSAR ERNESTO,38,,,ABSTENCION
,MARÍN AGUIRRE ANA BELÉN,40,,,ABSTENCION
,MENDOZA ARÉVALO DANIEL ISAAC,42,,,ABSTENCION
,OCHOA MORANTE MANUEL ALFREDO,45,,,ABSTENCION
,ORELLANA ROMÁN ROSA GINA,46,,,ABSTENCION
,BUSTAMANTE GARCÍA JUAN FRANCISCO,47,,,ABSTENCION
,PLAZA CASTILLO LENIN,49,,,ABSTENCION
,RODRÍGUEZ CEDEÑO ROSA ELENA,53,,,ABSTENCION
,VERA RODRÍGUEZ CARLOS ALFREDO,65,,,ABSTENCION
,ZAMBRANO ALCÍVAR MAGDA XIOMARA,72,,,ABSTENCION
,BURBANO MONTENEGRO FÉLIX FERNANDO,75,,,ABSTENCION
,CUCALÓN CAMACHO HENRY EDUARDO,78,,,ABSTENCION
,INTRIAGO ZAMBRANO FAUSTO PATRICIO,79,,,ABSTENCION
,CAMPOVERDE ROBLES EMILIO ABSALÓN,82,,,ABSTENCION
,ZAMBRANO CHACHA ALBERTO ALEXANDER,84,,,ABSTENCION
,HENRÍQUEZ JAIME PATRICIA IVONNE,87,,,ABSTENCION
,OLLAGUE VALAREZO ZOILA PIEDAD,88,,,ABSTENCION
,CRUZ PROAÑO LUDOVICO ISRAEL,91,,,ABSTENCION
,CRUZ VACA JEANNINE DEL CISNE,92,,,ABSTENCION
,CAMPOVERDE GONZÁLEZ RAÚL FREDDY BOLÍVAR,97,,,ABSTENCION
,CURICHUMBI YUPANQUI PEDRO,100,,,ABSTENCION
,GÓMEZ ALCÍVAR ROBERTO ANDRÉS,105,,,ABSTENCION
,ROHON HERVAS CÉSAR EDUARDO,110,,,ABSTENCION
,TERÁN SALCEDO RAMÓN FORTUNATO,112,,,ABSTENCION
,TORRES COBO LUIS ESTEBAN,113,,,ABSTENCION
,MORENO GUERRERO HENRY FREDY,118,,,ABSTENCION
,SOLORZANO SARRIA CESAR FAUSTO,126,,,ABSTENCION
,POVEDA ALVARADO ERIKA SOPHIA,127,,,ABSTENCION
,MARÍN LAVAYEN DENNIS GUSTAVO,128,,,ABSTENCION
,PAREDES TORRES WASHINGTON ARTURO,131,,,ABSTENCION
