35,asambleista,curul,total ausente,voto
,CEVALLOS GUEVARA LESLIE MARCELA,3.0,,AUSENTE
,ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,4.0,,AUSENTE
,BERGMANN REYNA CARLOS ALBERTO,9.0,,AUSENTE
,BONILLA SALCEDO VIVIANA,10.0,,AUSENTE
,CASANOVA CEPEDA XAVIER IVAN,11.0,,AUSENTE
,CABEZAS GUERRERO ELIZABETH ENRIQUETA,13.0,,AUSENTE
,CARRIÓN CEVALLOS MARÍA JOSÉ,18.0,,AUSENTE
,TERÁN SARZOSA SEGUNDO FAUSTO,19.0,,AUSENTE
,COROZO AYOVÍ JORGE WILBER,24.0,,AUSENTE
,FLOR GIL BRENDA AZUCENA,31.0,,AUSENTE
,GARCÍA GAIBOR CARMEN MERCEDES,32.0,,AUSENTE
,GARZÓN RICAURTE WILLIAM ANTONIO,34.0,,AUSENTE
,GAVILÁNEZ CAMACHO FAFO HOLGUÍN,35.0,,AUSENTE
,GUEVARA VILLACRÉS VERÓNICA MARGARITA,36.0,,AUSENTE
,LLORET VALDIVIESO JUAN CRISTÓBAL,39.0,,AUSENTE
,MENDOZA ARÉVALO DANIEL ISAAC,42.0,,AUSENTE
,ORELLANA ROMÁN ROSA GINA,46.0,,AUSENTE
,QUIJIJE DELGADO LUIS RAFAEL,52.0,,AUSENTE
,SALAZAR CEDEÑO GUADALUPE DOLORES,56.0,,AUSENTE
,YAGUANA ECHEVERRÍA ANDREA ALEXANDRA,59.0,,AUSENTE
,VILLALVA MIRANDA LIRA DE LA PAZ,66.0,,AUSENTE
,YAR ARAUJO JUAN CARLOS,68.0,,AUSENTE
,BURBANO MONTENEGRO FÉLIX FERNANDO,75.0,,AUSENTE
,AZUERO RODAS ELISEO ALEXIS,77.0,,AUSENTE
,CAMPOVERDE ROBLES EMILIO ABSALÓN,82.0,,AUSENTE
,PEÑA ONTANEDA ELIO GERMÁN,96.0,,AUSENTE
,REYES HIDALGO CRISTINA EUGENIA,99.0,,AUSENTE
,CURICHUMBI YUPANQUI PEDRO,100.0,,AUSENTE
,DONOSO CHIRIBOGA PATRICIO,101.0,,AUSENTE
,ZAMBRANO VERA MARIANO,106.0,,AUSENTE
,TORRES COBO LUIS ESTEBAN,113.0,,AUSENTE
,CUESTA CONCARI MARÍA MERCEDES,122.0,,AUSENTE
