curul,asambleista,voto
6,ARREGUI RUEDA MARCIA CECILIA,AUSENTE
7,ARTEAGA MUÑOZ KARINA CECILIA,AUSENTE
8,BENAVIDES ZAMBRANO ZOILA TERESA,AUSENTE
11,CASANOVA CEPEDA XAVIER IVAN,AUSENTE
13,CABEZAS GUERRERO ELIZABETH ENRIQUETA,AUSENTE
14,CADENA VÉLEZ KARLA GABRIELA,AUSENTE
18,EGAS LEDESMA JOSÉ ANTONIO,AUSENTE
19,TERÁN SARZOSA SEGUNDO FAUSTO,AUSENTE
20,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,AUSENTE
24,COROZO AYOVÍ JORGE WILBER,AUSENTE
25,CUESTA RÍOS LIUBA ELISA,AUSENTE
26,CUESTA SANTANA ESTHER ADELINA,AUSENTE
27,DOUMET CHEDRAUI MICHEL ANDRÉS,AUSENTE
31,FLOR GIL BRENDA AZUCENA,AUSENTE
33,GARCÍA POZO DIEGO OSWALDO,AUSENTE
36,GUEVARA VILLACRÉS VERÓNICA MARGARITA,AUSENTE
37,HOLGUÍN NARANJO MARCELA PRISCILA,AUSENTE
40,MARÍN AGUIRRE ANA BELÉN,AUSENTE
41,MELO GARZÓN ESTEBAN ANDRÉS,AUSENTE
42,COLAMARCO VERA PINUCCIA MAGALY,AUSENTE
43,MUÑOZ LÓPEZ CHRISTIAN PABEL,AUSENTE
46,ORELLANA ROMÁN ROSA GINA,AUSENTE
51,PROAÑO CIFUENTES ROBERTH MAURICIO,AUSENTE
53,QUIÑONEZ OCAMPO JULIO CÉSAR,AUSENTE
56,SALAZAR CEDEÑO GUADALUPE DOLORES,AUSENTE
59,YAGUANA ECHEVERRÍA ANDREA ALEXANDRA,AUSENTE
60,ALEMÁN MARMOL MÓNICA ROCÍO,AUSENTE
61,SOLIZ CARRIÓN DORIS JOSEFINA,AUSENTE
63,VELIN CORTÉS JUAN PABLO,AUSENTE
64,VERA FLORES WENDY VANESSA,AUSENTE
65,VERA RODRÍGUEZ CARLOS ALFREDO,AUSENTE
66,VILLALVA MIRANDA LIRA DE LA PAZ,AUSENTE
67,CHACTONG VELASCO MARTHA XIMENA,AUSENTE
68,YAR ARAUJO JUAN CARLOS,AUSENTE
71,ANDRADE MUÑOZ WILMA PIEDAD,AUSENTE
73,AUQUILLA ORTEGA RAÚL VICENTE,AUSENTE
76,ZAMBRANO CASTRO NORALMA ELIZABETH,AUSENTE
84,ZAMBRANO CHACHA ALBERTO ALEXANDER,AUSENTE
85,SINMALEZA SÁNCHEZ ÁNGEL RUPERTO,AUSENTE
86,YANDÚN POZO CÁSTULO RENÉ,AUSENTE
88,KRONFLE KOZHAYA HENRY FABIÁN,AUSENTE
93,CUESTA ORELLANA MARÍA DE LOURDES,AUSENTE
95,CADENA HUERTAS FRANCISCO JAVIER,AUSENTE
100,CURICHUMBI YUPANQUI PEDRO,AUSENTE
101,DONOSO CHIRIBOGA PATRICIO,AUSENTE
103,VERDEZOTO REINOSO ROSA ISABEL,AUSENTE
106,ZAMBRANO VERA MARIANO,AUSENTE
109,OLIVO PALLO JAIME FERNANDO,AUSENTE
111,TAIANO BASANTE VICENTE GIOVANNY,AUSENTE
113,TORRES COBO LUIS ESTEBAN,AUSENTE
114,LARREÁTEGUI FABARA MARÍA GABRIELA,AUSENTE
115,SALTOS MOREIRA DIANA GABRIELA,AUSENTE
116,BURI ADRIÁN MARÍA IVONNE,AUSENTE
120,PACHALA POMA LUIS ALBERTO,AUSENTE
124,PUANCHIR PAYASHÑA TITO PEDRO,AUSENTE
126,SOLÓRZANO SARRIA CÉSAR FAUSTO,AUSENTE
129,ESTUPIÑÁN ORTIZ BORIS EFRÉN,AUSENTE
132,ROMERO LOAYZA FRANCO SEGUNDO,AUSENTE
136,VILLAMAR JÁCOME PEDRO FABRICIO,AUSENTE
1,AGUIÑAGA VALLEJO PAOLA MARCELA,SI
2,ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,SI
3,CEVALLOS GUEVARA LESLIE MARCELA,SI
4,ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,SI
5,ARIAS RAMÍREZ ALBERTO JESÚS,SI
9,BERGMANN REYNA CARLOS ALBERTO,SI
10,COLLAGUAZO RODRIGO,SI
12,BUSTAMANTE MONTEROS RUBÉN ALEJANDRO,SI
15,CALLE VERZOZI HERMUY,SI
16,CAMBALA MONTECE CARLOS ALBERTO,SI
17,CÁRDENAS ESPINOZA JUAN JORGE,SI
21,CERDA MIRANDA GABRIELA PAMELA,SI
22,CHALÁ CRUZ JOSÉ FRANKLIN,SI
23,CHÁVEZ BAJAÑA KHARLA DEL ROCÍO,SI
28,DURÁN AGUILAR LILIANA ELIZABETH,SI
29,ALEAGA SANTOS RONNY XAVIER,SI
30,CABEZAS CASTILLO JANETH PAOLA,SI
32,GARCÍA GAIBOR CARMEN MERCEDES,SI
34,GARZÓN RICAURTE WILLIAM ANTONIO,SI
35,GAVILÁNEZ CAMACHO FAFO HOLGUÍN,SI
38,LITARDO CAICEDO CÉSAR ERNESTO,SI
39,LLORET VALDIVIESO JUAN CRISTÓBAL,SI
44,NARANJO ALVARADO PRISCILA AMAPOLA,SI
45,OCHOA MORANTE MANUEL ALFREDO,SI
47,BUSTAMANTE GARCÍA JUAN FRANCISCO,SI
48,PEÑA PACHECO XIMENA DEL ROCÍO,SI
49,PLAZA CASTILLO LENIN,SI
50,ANDRADE VILLAPRADO NELLY LISSETH,SI
52,QUIJIJE DELGADO LUIS RAFAEL,SI
54,AGUALSACA GUAMAN JOSE CLEMENTE,SI
55,RIVADENEIRA BUSTOS CARMEN MERCEDES,SI
57,SALGADO ANDRADE SILVIA BETZABETH,SI
58,SAMANIEGO MAIGUA FRANKLIN OMAR,SI
62,VALLE PINARGOTE BAIRON LEONARDO,SI
69,GUAMBA DÍAZ NANCY JEANNETH,SI
70,LOOR ALCÍVAR LEXI LIDUVINA,SI
72,ZAMBRANO ALCÍVAR MAGDA XIOMARA,SI
74,ASTUDILLO LOOR LINA GLORIA,SI
75,BURBANO MONTENEGRO FÉLIX FERNANDO,SI
77,AZUERO RODAS ELISEO ALEXIS,SI
78,CUCALÓN CAMACHO HENRY EDUARDO,SI
79,SERRANO VITERI MERCEDES MARITZA,SI
80,CALLEJAS BARONA FERNANDO,SI
81,CAMPAIN BRAMBILLA RINA ASUNCIÓN,SI
82,CAMPOVERDE ROBLES EMILIO ABSALÓN,SI
83,CARRIÓN MORENO CÉSAR ATAULFO,SI
87,HENRÍQUEZ JAIME PATRICIA IVONNE,SI
89,CASTANIER JARAMILLO XAVIER HOMERO,SI
90,CELI SANTOS GUILLERMO ALEJANDRO,SI
91,CRUZ PROAÑO LUDOVICO ISRAEL,SI
92,CRUZ VACA JEANNINE DEL CISNE,SI
94,ZAMBRANO VALLE EDUARDO MAURICIO,SI
