A1,A2,voto,valor
ABAD VELEZ RAUL,ACERO LANCHIMBA ESTHELA LILIANA,SI,2
ABAD VELEZ RAUL,LANDAZURI OLMEDO LUDIS CUAUDINA,SI,1
ABAD VELEZ RAUL,MACHUCA MOSCOSO LINDA MARICELA,SI,1
ABAD VELEZ RAUL,AGUIRRE HIDALGO DORA ANDELA,SI,2
ABAD VELEZ RAUL,ALBAN TORRES MARIANA DEL ROCIO,SI,2
ABAD VELEZ RAUL,ALCIVAR MERA FELIX ANDRES,SI,2
ABAD VELEZ RAUL,MUÑOZ VICUÑA MARIANGEL,SI,2
ABAD VELEZ RAUL,ANDINO REINOSO MAURO EDMUNDO,SI,2
ABAD VELEZ RAUL,ARCE PLUAS ALEXANDRA MANUELA,SI,1
ABAD VELEZ RAUL,ARIAS RAMIREZ ALBERTO JESUS,SI,1
ABAD VELEZ RAUL,ARREGUI RUEDA MARCIA CECILIA,SI,2
ABAD VELEZ RAUL,BENAVIDES ZAMBRANO ZOILA TERESA,SI,2
ABAD VELEZ RAUL,BERGMANN REYNA CARLOS ALBERTO,SI,2
ABAD VELEZ RAUL,BORJA PEREZ GALO,SI,2
ABAD VELEZ RAUL,BUENDIA HERDOIZA MARIA SOLEDAD,SI,2
ABAD VELEZ RAUL,BUSTAMANTE PONCE FERNANDO XAVIER,SI,2
ABAD VELEZ RAUL,CALDERON SALTOS RICHARD OSWALDO,SI,2
ABAD VELEZ RAUL,CALLE ANDRADE MARIA AUGUSTA,SI,2
ABAD VELEZ RAUL,CARRILLO BETTY,SI,2
ABAD VELEZ RAUL,CARRION MARIA JOSE,SI,2
ABAD VELEZ RAUL,CARVAJAL AGUIRRE MIGUEL ANGEL,SI,2
ABAD VELEZ RAUL,CASSINELLI CALI JUAN CARLOS,SI,2
ABAD VELEZ RAUL,CAYAMBE TIPAN FAUSTO HERIBERTO,SI,1
ABAD VELEZ RAUL,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,SI,2
ABAD VELEZ RAUL,CHAVEZ CANALES HOLGER EZEQUIEL,SI,1
ABAD VELEZ RAUL,CHICA AREVALO VINICIO VETHOWEN,SI,2
ABAD VELEZ RAUL,DAVILA RAMIREZ BELGICA ELIZABETH,SI,1
ABAD VELEZ RAUL,CUESTA RIOS LIUBA ELISA,SI,2
ABAD VELEZ RAUL,DE LA CRUZ BERNARDO HERMAN ULISES,SI,1
ABAD VELEZ RAUL,DE LA CRUZ GASPAR ADRIANA MIOSOTI,SI,2
ABAD VELEZ RAUL,DELGADO CHALA AGUSTIN JAVIER,SI,1
ABAD VELEZ RAUL,FAJARDO MOSQUERA LETTY VANESSA,SI,1
ABAD VELEZ RAUL,FALCONI LOQUI EVELYN PAMELA,SI,2
ABAD VELEZ RAUL,GAGLIARDO LOOR GASTON,SI,1
ABAD VELEZ RAUL,GALVAN GRACIA MARIA ESPERANZA,SI,1
ABAD VELEZ RAUL,LARREA VITERI LIDICE VANESSA,SI,2
ABAD VELEZ RAUL,GARZON RECAURTE WILLIAM ANTONIO,SI,1
ABAD VELEZ RAUL,GODOY ANDRADE GINA JAKELINE,SI,1
ABAD VELEZ RAUL,GONZALEZ SERRANO MIRYAM CATARINA,SI,2
ABAD VELEZ RAUL,GUAMAN CASTRO ALEX FRANCISCO,SI,2
